num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
50,3327785500,1985,2263,4248,1104.226,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_50,FALSE
55,3043581400,2168,2080,4248,1105.179,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_55,FALSE
60,2746698300,2363,1885,4248,1106.483,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_60,FALSE
65,2476882400,2544,1704,4248,1104.999,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_65,FALSE
70,2215161400,2719,1529,4248,1105.39,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_70,FALSE
75,1952234700,2898,1350,4248,1106.175,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_75,FALSE
80,1770472600,3020,1228,4248,1106.202,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_80,FALSE
85,1561795700,3165,1083,4248,1105.364,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_85,FALSE
90,1388000200,3281,967,4248,1106.2,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_90,FALSE
95,1274988600,3362,886,4248,1106.956,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_95,FALSE
100,1172258000,3432,816,4248,1106.787,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_100,FALSE
105,1018653800,3538,710,4248,1107.66,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_105,FALSE
110,941218500,3590,658,4248,1107.093,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_110,FALSE
115,890876700,3628,620,4248,1107.913,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\8월21일\FOCUSED\Remove_Pending_depot\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_115,FALSE
