time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
1,05:41,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
2,05:42,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
3,05:43,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
4,05:44,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
5,05:45,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
6,05:46,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
7,05:47,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
8,05:48,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
9,05:49,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
10,05:50,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
11,05:51,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
12,05:52,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
13,05:53,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
14,05:54,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
15,05:55,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
16,05:56,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
17,05:57,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
18,05:58,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
19,05:59,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
20,06:00,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
21,06:01,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
22,06:02,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
23,06:03,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
24,06:04,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
25,06:05,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
26,06:06,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
27,06:07,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
28,06:08,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
29,06:09,9,9,평택,17,"8,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
30,06:10,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
31,06:11,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
32,06:12,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
33,06:13,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
34,06:14,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
35,06:15,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
36,06:16,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
37,06:17,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
38,06:18,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
39,06:19,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
40,06:20,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
41,06:21,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
42,06:22,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
43,06:23,9,9,평택,16,"18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
44,06:24,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
45,06:25,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
46,06:26,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
47,06:27,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
48,06:28,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
49,06:29,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
50,06:30,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
51,06:31,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
52,06:32,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
53,06:33,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
54,06:34,9,9,평택,17,"3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
55,06:35,9,9,평택,18,"0,3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
56,06:36,9,9,평택,18,"0,3,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
57,06:37,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
58,06:38,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
59,06:39,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
60,06:40,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
61,06:41,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
62,06:42,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
63,06:43,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
64,06:44,9,9,평택,20,"0,1,3,4,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
65,06:45,9,9,평택,21,"0,1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
66,06:46,9,9,평택,21,"0,1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
67,06:47,9,9,평택,20,"1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
68,06:48,9,9,평택,20,"1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
69,06:49,9,9,평택,20,"1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
70,06:50,9,9,평택,20,"1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
71,06:51,9,9,평택,20,"1,3,4,5,18,28,38,48,58,68,78,88,98,108,118,128,138,148,158,168"
